smiles,binary_classification_current_label
C=CC(CCCCC)OC(C)=O,1
C/C=C(\C)C=O,0
CCCCO,0
CCCCCO,0
CCCCCCO,1
CCCCCCCO,1
CCCCCCCCO,0
CCCCCCCCCO,0
CC(O)C(C)O,0
CCCCOCCO,0
CC(C)CCO,0
CCC/C=C/CO,0
CCC/C=C\CO,0
C=CC(O)CCC,0
C=CC(O)CCCC,0
CCCCCC(O)CC,1
C=CC(O)CCCCC,1
C#CC(O)CCCCC,1
CCCCC#CCCO,1
CCCCCC/C=C/CO,0
CCCCCC/C=C\CO,0
CC1CCC(O)CC1,0
CCCCCCCCCC[C@H](OC(C)=O)[C@H]1CCCC(=O)O1,0
CC1CCC(C(C)(C)O)C(O)C1,1
COC(C)=O,0
CCOC(C)=O,0
CCCOC(C)=O,1
CCCCOC(C)=O,0
CCCCCOC(C)=O,1
CCCCCCOC(C)=O,1
CCCCCCCOC(C)=O,0
CCCCCCCCOC(C)=O,0
CCCCCCCCCOC(C)=O,0
CCCCCCCCCCOC(C)=O,0
CCC(=O)OC,0
CCOC(=O)CC,0
CCCC(=O)OC,0
CCCC(=O)OCC,0
CCCCCC(=O)OC,0
CCCCCC(=O)OCC,0
CCCC(O)CC(=O)OCC,1
CCOC(=O)CC(C)O,0
CCC/C=C/COC(C)=O,0
CC/C=C\CCOC(C)=O,0
C=C1CC=C(C(C)C)CC1,0
CC1=CC=C(C(C)C)CC1,0
CCOC(=O)C(C)O,0
COC(=O)c1ccccc1O,0
CC(=O)OCCC(C)C,0
CC(=O)Oc1cccc(C)c1,0
CCOC(=O)Cc1ccccc1,0
CC(=O)OC/C=C(\C)CCC=C(C)C,0
CCCCCCCCCCCCCCCCCCOC(C)=O,0
CCC=O,0
CCCC=O,0
CCCCC=O,0
CCCCCC=O,1
CCCCCCC=O,1
CCCCCCCC=O,1
CCCCCCCCC=O,1
CCCCCCCCCC=O,0
CCCCCCCCCCC=O,0
CCCCCCCCCCCC=O,1
CCC/C=C/C=O,0
CC/C=C\CCCCCCC=O,0
CCCC/C=C/C=O,0
CCCCCC/C=C/C=O,0
O=CCc1ccccc1,0
O=Cc1ccco1,0
CCC(C)=O,1
CCCCCC(C)=O,1
CC(=O)CC/C=C(\C)CCC=C(C)C,0
CC(=O)CCC=C(C)C,0
CC(=O)CCC(C)C,0
CC(=O)C(C)=O,0
CC(=O)C(C)O,0
CCCCCCCCCC(C)=O,1
CCCCCCCCCCCC(C)=O,1
CCCCCCCC(C)=O,0
Cc1ncc(CC(C)C)nc1C,0
CCCCCCC(C)O,0
CC12CCC(C1)C(C)(C)C2=O,0
O=C1CCCCC1,1
CC(=O)c1ccccc1,1
CC1C(=O)CC2(C(C)C)CC12,0
CC(C)CC(=O)O,0
CCCCCCCCCCCCO,0
CCCCCCCCCCCC(=O)O,0
CC(O)C(=O)O,1
CC(=O)O,0
CCC(=O)O,0
CCCC(=O)O,0
CC(C)C(=O)O,0
CCC(=O)C(=O)O,0
CCCCC(=O)O,0
CCCC(=O)C(=O)O,0
CCCCCC(=O)O,0
CCC/C=C/C(=O)O,0
CC/C=C/CC(=O)O,0
CCCCCCC(=O)O,0
CCCCCCCC(=O)O,0
CCCCCCCCC(=O)O,1
CCCCCCCCCC(=O)O,0
CCN(CC)CC,0
CCCCCCCCCCCCC(=O)O,0
CCCCC/C=C\C/C=C\CCCCCCCC(=O)O,1
CN(C)C,0
CCCN,0
CCCCN,0
CCCCCN,0
CCCCCCN,0
CCCCCCCN,0
CCCCCCCCN,0
NCCCCN,0
NCCCCCN,0
O=Cc1ccccc1,1
Oc1ccccc1,1
Cc1ccccc1O,0
Cc1cccc(O)c1,0
Cc1ccc(O)cc1,0
CCc1ccc(O)cc1,1
Cc1cc(C)cc(O)c1,0
Cc1cccc(O)c1C,1
COc1ccccc1O,1
c1ccc2ccccc2c1,0
CCCc1ccc(O)c(OC)c1,0
OCCOc1ccccc1,1
COc1ccccc1OC,0
OCc1ccccc1,0
OCCc1ccccc1,0
CC(O)c1ccccc1,0
c1ccc(Oc2ccccc2)cc1,0
C=CC(=C)C,0
CCCCC/C=C\C/C=C\CCCCCCCC(=O)OCC,0
C=C(C)[C@H]1CC=C(C)CC1,0
C/C1=C\CC/C(C)=C/CC(C)(C)/C=C/C1,0
CC(C)=CCCC(C)(O)C1CO1,1
CC(C)=CCC/C(C)=C/CO,0
CC(C)=CCC/C(C)=C\CO,1
C=CC(O)C/C=C/CC,1
C=CC(C)(O)CCC=C(C)C,0
CC12CCC(CC1)C(C)(C)O2,1
CC(C)=CCCC(C)=CC=O,0
C=CCc1ccc(O)c(OC)c1,1
CC1=CCC2CC1C2(C)C,0
C=C/C(C)=C/C=C/C(C)C,0
CC(C)=CCCC(C)CC=O,0
c1ccc2[nH]ccc2c1,1
Cc1c[nH]c2ccccc12,0
CC1CCC(=O)O1,0
CCC1CCC(=O)O1,0
CCCCC1CCC(=O)O1,0
CCCCCCC1CCC(=O)O1,0
CC1=C(O)C(=O)C(C)O1,0
COC1=C(C)OC(C)C1=O,0
CCCCCCCCC1CCC(=O)O1,0
C1CCNC1,0
CC(=O)c1cccs1,0
COC(=O)c1ccccc1C(=O)OC,0
O=COCc1ccccc1,0
O=COCCc1ccccc1,0
CC(C)CC=O,0
CCCCCCCCCCCCCCCCCC(=O)OCC,0
CCCCCCCCCCCCCC(=O)O,0
CCCCCCCCCCCCCC(=O)OC,0
CCCCCCCCCCCCCCCCO,0
CC1=CCC(=C(C)C)CC1,0
CNC(=O)c1ccccc1,0
C=CC(=C)CCC=C(C)C,0
CCCCCC/C=C\CCCCCCCC(=O)O,0
CCC(=O)Oc1ccccc1,0
CC(C)C(=O)Oc1ccccc1,0
Cn1c(=O)c2[nH]cnc2n(C)c1=O,0
c1ccc(Nc2cccc3ccccc23)cc1,0
CCc1ccccc1C,0
O=C1CSC(=O)N1,0
CC1=NCCS1,0
CCC(=O)OCCc1ccccc1,0
CCCCC/C=C\C=C\C(=O)OCC,0
CCCCCCC(C=O)=Cc1ccccc1,0
CCCC(C)=O,0
CCCCC(C)=O,0
CCCCCCC(C)=O,0
Cc1ncsc1C,0
CC(C)=CCC/C(C)=C/CC/C(C)=C/CO,0
CC(=O)OC/C=C(\C)CC/C=C(\C)CCC=C(C)C,0
CC/C=C\CCO,0
CC1(C)[C@@H]2CC[C@@]1(C)C(=O)C2,0
CC1(C)C2CC[C@]1(C)C(=O)C2,0
CC=O,0
CCN(CC)C(=O)c1cccc(C)c1,1
CCC(C)OC(=O)N1CCCCC1CCO,1
CCCCN(CCC(=O)OCC)C(C)=O,1
CCOC(=O)c1ccccc1N,0
CCCCOC(=O)c1ccccc1N,0
COC(=O)c1ccccc1N(C)C,0
CC/C=C\C[C@H]1C(=O)CC[C@@H]1CC(=O)O,0
CC/C=C\C[C@H]1C(=O)CC[C@@H]1CC(=O)OC,0
