Number,Experiment,Mixture1Id,Mixture2Id,RatedSimilarity
1001,Exp1,1,3,38.47727273
1002,Exp1,1,8,44.84090909
1003,Exp1,1,11,31.02272727
1004,Exp1,2,5,41
1005,Exp1,2,7,65.18181818
1006,Exp1,2,8,50.20454545
1007,Exp1,3,2,46.65909091
1008,Exp1,3,5,52.75
1009,Exp1,4,3,42.75
1010,Exp1,4,9,45.20454545
1011,Exp1,5,7,40.43181818
1012,Exp1,5,10,41.25
1013,Exp1,5,14,46.97727273
1014,Exp1,6,2,16.65909091
1015,Exp1,6,3,28.63636364
1016,Exp1,6,5,27.79545455
1017,Exp1,6,10,37.06818182
1018,Exp1,7,1,29.90909091
1019,Exp1,7,4,46.93181818
1020,Exp1,8,6,20.18181818
1021,Exp1,8,12,37.18181818
1022,Exp1,8,11,46.68181818
1023,Exp1,8,10,37.47727273
1024,Exp1,9,2,58.47727273
1025,Exp1,9,6,22.84090909
1026,Exp1,9,8,47.90909091
1027,Exp1,9,13,44.43181818
1028,Exp1,12,1,32.40909091
1029,Exp1,12,3,38.68181818
1030,Exp1,12,5,35.29545455
1031,Exp1,11,2,54.63636364
1032,Exp1,11,4,36.90909091
1033,Exp1,11,12,26.22727273
1034,Exp1,11,14,53.54545455
1035,Exp1,10,9,41.40909091
1036,Exp1,10,11,35.75
1037,Exp1,13,1,32.04545455
1038,Exp1,13,5,32.34090909
1039,Exp1,13,7,61.29545455
1040,Exp1,13,12,32.52272727
1041,Exp1,13,10,30.88636364
1042,Exp1,14,1,38.97727273
1043,Exp1,14,3,46.88636364
1044,Exp1,14,4,50.15909091
1045,Exp1,14,6,19.65909091
1046,Exp1,14,12,34.77272727
1047,Exp1,1,1,89.13636364
1048,Exp1,2,2,87.02272727
1049,Exp1,1,2,28.04545455
1050,Exp1,1,4,22.09090909
1051,Exp1,1,5,59.04545455
1052,Exp1,1,6,25.45454545
1053,Exp1,1,9,35.22727273
1054,Exp1,1,10,35.65909091
1055,Exp1,2,4,60.59090909
1056,Exp1,2,12,25.40909091
1057,Exp1,2,10,29.65909091
1058,Exp1,2,13,57.77272727
1059,Exp1,2,14,60.5
1060,Exp1,3,7,46.40909091
1061,Exp1,3,8,51.43181818
1062,Exp1,3,9,49.25
1063,Exp1,3,11,49.56818182
1064,Exp1,3,10,35.04545455
1065,Exp1,3,13,60.36363636
1066,Exp1,4,5,33.15909091
1067,Exp1,4,6,20.72727273
1068,Exp1,4,8,48.68181818
1069,Exp1,4,12,33.25
1070,Exp1,4,10,34.97727273
1071,Exp1,4,13,43.02272727
1072,Exp1,5,8,42.63636364
1073,Exp1,5,9,37.43181818
1074,Exp1,5,11,31.5
1075,Exp1,6,7,16.27272727
1076,Exp1,6,12,36.47727273
1077,Exp1,6,11,15.04545455
1078,Exp1,6,13,18.11363636
1079,Exp1,7,8,56.31818182
1080,Exp1,7,9,52.20454545
1081,Exp1,7,12,31.59090909
1082,Exp1,7,11,66.70454545
1083,Exp1,7,10,33.18181818
1084,Exp1,7,14,56.65909091
1085,Exp1,8,13,56.68181818
1086,Exp1,8,14,57.29545455
1087,Exp1,9,12,26.31818182
1088,Exp1,9,11,45.34090909
1089,Exp1,9,14,77.25
1090,Exp1,12,10,69.38636364
1091,Exp1,11,13,72.40909091
1092,Exp1,10,14,33.25
1093,Exp1,13,14,50
1094,Exp1,14,14,82.54545455
1095,Exp1,13,13,74.45454545
2001,Exp2,1,3,33.46
2002,Exp2,1,8,35.6
2003,Exp2,1,11,40.95
2004,Exp2,2,5,25.09
2005,Exp2,2,7,26.96
2006,Exp2,2,8,37.95
2007,Exp2,3,2,32.31
2008,Exp2,3,5,56.78
2009,Exp2,4,3,32.09
2010,Exp2,4,9,32.57
2011,Exp2,5,7,61.33
2012,Exp2,5,10,51.96
2013,Exp2,5,14,42.8
2014,Exp2,6,2,51.83
2015,Exp2,6,3,39.81
2016,Exp2,6,5,32.72
2017,Exp2,6,10,43.3
2018,Exp2,7,1,33.56
2019,Exp2,7,4,31.9
2020,Exp2,8,6,45.06
2021,Exp2,8,12,42.63
2022,Exp2,8,11,56.58
2023,Exp2,8,10,49.82
2024,Exp2,9,2,62.48
2025,Exp2,9,6,51.02
2026,Exp2,9,8,52.02
2027,Exp2,9,13,40.97
2028,Exp2,12,1,23.82
2029,Exp2,12,3,47.08
2030,Exp2,12,5,47.65
2031,Exp2,11,2,28.43
2032,Exp2,11,4,29.37
2033,Exp2,11,12,52.27
2034,Exp2,11,14,54.5
2035,Exp2,10,9,34.61
2036,Exp2,10,11,52.61
2037,Exp2,13,1,24.58
2038,Exp2,13,5,67.98
2039,Exp2,13,7,61.91
2040,Exp2,13,12,62.72
2041,Exp2,13,10,50.15
2042,Exp2,14,1,33.72
2043,Exp2,14,3,43.33
2044,Exp2,14,4,29.38
2045,Exp2,14,6,46.25
2046,Exp2,14,12,48.66
2047,Exp2,1,1,86.35
2048,Exp2,2,2,88.77
2049,Exp2,11,11,87.1
2050,Exp2,12,12,86.03
2051,Exp2,1,2,36.36
2052,Exp2,1,4,72.32
2053,Exp2,1,5,37.87
2054,Exp2,1,6,53.61
2055,Exp2,1,9,42.08
2056,Exp2,1,10,32.74
2057,Exp2,2,4,32.69
2058,Exp2,2,12,19.41
2059,Exp2,2,10,22.75
2060,Exp2,2,13,17.71
2061,Exp2,2,14,31.67
2062,Exp2,3,7,61.45
2063,Exp2,3,8,53.04
2064,Exp2,3,9,48.17
2065,Exp2,3,11,53.93
2066,Exp2,3,10,44.81
2067,Exp2,3,13,55.33
2068,Exp2,4,5,27.14
2069,Exp2,4,6,34.71
2070,Exp2,4,8,34.58
2071,Exp2,4,12,16.73
2072,Exp2,4,10,28.72
2073,Exp2,4,13,24.27
2074,Exp2,5,8,54.21
2075,Exp2,5,9,32.66
2076,Exp2,5,11,77.27
2077,Exp2,6,7,28.27
2078,Exp2,6,12,30.6
2079,Exp2,6,11,30.86
2080,Exp2,6,13,28.5
2081,Exp2,7,8,80.55
2082,Exp2,7,9,47.18
2083,Exp2,7,12,51.43
2084,Exp2,7,11,59.58
2085,Exp2,7,10,51.59
2086,Exp2,7,14,49.96
2087,Exp2,8,13,49.31
2088,Exp2,8,14,47.4
2089,Exp2,9,12,27.27
2090,Exp2,9,11,37.15
2091,Exp2,9,14,41.44
2092,Exp2,12,10,61.63
2093,Exp2,11,13,65.32
2094,Exp2,10,14,71.11
2095,Exp2,13,14,46.04
2096,Exp2,14,14,82.22
2097,Exp2,13,13,87.33
2098,Exp2,3,3,89.02
2099,Exp2,4,4,88.41
2100,Exp2,7,7,89.5
