Comparison number,Mixture number,Mixture number,Average rated similarity
1,1,2,42.8920768277
2,1,3,38.2925188853
3,1,4,58.2205435883
4,5,6,29.7321081182
5,5,7,62.231981175
6,5,3,59.6834225837
7,2,5,56.8320625991
8,2,6,31.1102534239
9,8,2,45.1906525188
10,8,9,55.8460436439
11,6,7,27.1032905381
12,6,10,28.4666081119
13,6,11,37.8212120261
14,12,5,29.2264463261
15,12,2,32.8488419076
16,12,6,35.9348363339
17,12,10,37.0957060269
18,7,1,35.8676065026
19,7,8,38.8315476659
20,3,12,29.3431840677
21,3,13,41.8740722418
22,3,4,55.1835934311
23,3,10,44.6881379562
24,9,5,61.8433647714
25,9,12,30.0817078966
26,9,3,49.1864076834
27,9,14,54.434006142
28,13,1,45.0479865702
29,13,2,43.3056175159
30,13,6,40.0733972789
31,4,5,71.0763747141
32,4,8,51.6250918479
33,4,13,37.7755842727
34,4,11,42.65543746
35,10,9,51.6787465177
36,10,4,60.041397948
37,14,1,34.334684991
38,14,6,33.6834812847
39,14,7,66.8014539949
40,14,13,40.4904882931
41,14,10,65.2906207311
42,11,1,62.0149033493
43,11,2,52.1849505052
44,11,8,48.0076235013
45,11,12,34.7939733695
46,11,13,50.4446400068
47,1,5,63.4176348598
48,1,8,35.9579997488
49,1,6,44.5168647674
50,1,12,53.8750343555
51,1,9,46.8743338229
52,1,10,37.0116310677
53,5,8,47.6427082577
54,5,13,37.6277234001
55,5,10,47.5206029328
56,5,14,56.5273711569
57,5,11,55.5547834727
58,2,7,56.5124839064
59,2,3,47.8892521298
60,2,9,56.4702011828
61,2,4,61.0520828953
62,2,10,59.0501557976
63,2,14,64.6282394837
64,8,6,30.0333647715
65,8,12,24.9943769886
66,8,3,50.605626467
67,8,13,23.3561339388
68,8,10,46.2247464518
69,8,14,38.2099169932
70,6,3,35.1094674536
71,6,9,27.793943301
72,6,4,28.1503345953
73,12,7,33.8501517588
74,12,13,36.6066038191
75,12,4,27.5310341851
76,12,14,39.1216385083
77,7,3,53.5510491156
78,7,9,58.2561770446
79,7,13,43.9005771667
80,7,4,61.4611468128
81,7,10,50.0969153042
82,7,11,65.5970916721
83,3,14,48.393467523
84,3,11,50.3668346769
85,9,13,41.7041072969
86,9,4,58.5990436446
87,9,11,69.0992488397
88,13,10,39.051042677
89,4,14,63.0563164143
90,10,11,45.9789168529
91,14,11,62.5123193783
92,1,1,70.2901207791
93,5,5,58.2890207475
94,11,11,69.6266983069
95,14,14,68.4690574039